filename,tot_seconds,netpos_seconds,netpos_prop,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike
10582565,233,114,0.4892703862660944,6925458.0,136609.0,31064.0,216749.0,165616.0,92677.0,0.0,1.0,70631.0,0.0
49432951,479,21,0.0438413361169102,3301066.0,175777.0,25564.0,74709.0,176378.0,15687.0,0.0,3.0,253220.0,0.0
58999505,393,145,0.3689567430025445,3717350.0,77310.0,5638.0,58247.0,161152.0,26362.0,0.0,5.0,239233.0,0.0
14043323,359,96,0.2674094707520891,985610.0,67326.0,2959.0,4008.0,1335.0,1167.0,0.0,38.0,8018.0,0.0
8266488,228,169,0.7412280701754386,2218230.0,58225.0,14896.0,81099.0,106295.0,23076.0,0.0,8.0,8000.0,0.0
6899209,289,-35,-0.1211072664359861,1841908.0,43135.0,5779.0,66907.0,86050.0,18561.0,0.0,2.0,14656.0,0.0
4061220,262,103,0.3931297709923664,4375389.0,42786.0,12027.0,166575.0,164985.0,34562.0,0.0,20.0,67250.0,0.0
10457549,268,101,0.376865671641791,1858795.0,38894.0,13721.0,66258.0,59293.0,40864.0,0.0,0.0,13552.0,0.0
27573465,543,185,0.3406998158379374,4635377.0,43014.0,10592.0,21093.0,58947.0,29347.0,0.0,4.0,92501.0,0.0
58074555,392,51,0.1301020408163265,7349831.0,41178.0,8614.0,69842.0,210476.0,6267.0,0.0,3.0,283526.0,0.0
49506566,93,82,0.8817204301075269,,,,,,,,,,
63837184,271,191,0.7047970479704797,3415057.0,34876.0,8431.0,198626.0,577065.0,46532.0,0.0,1.0,464189.0,0.0
6941707,273,100,0.3663003663003663,4026218.0,30220.0,14432.0,137264.0,133326.0,19301.0,0.0,1.0,62381.0,0.0
31882478,560,-137,-0.2446428571428571,4878876.0,34428.0,9951.0,33347.0,4786.0,4406.0,0.0,5.0,48377.0,0.0
8704246,292,92,0.3150684931506849,1574733.0,28265.0,4170.0,57962.0,81101.0,25425.0,0.0,3.0,16516.0,0.0
7859121,247,134,0.5425101214574899,2363000.0,27417.0,3597.0,100482.0,135161.0,34575.0,0.0,9.0,25719.0,0.0
40876971,219,-106,-0.4840182648401826,2669692.0,29300.0,9865.0,143110.0,175151.0,63129.0,0.0,5.0,186628.0,0.0
15652001,116,-95,-0.8189655172413793,5704049.0,41882.0,5742.0,27828.0,933.0,1700.0,0.0,0.0,48914.0,0.0
11961649,197,-35,-0.1776649746192893,988369.0,25441.0,8950.0,36145.0,42210.0,37045.0,0.0,2.0,5821.0,0.0
61315100,528,186,0.3522727272727273,2102739.0,28049.0,3957.0,13922.0,28129.0,1829.0,0.0,37.0,99628.0,0.0
29429272,445,214,0.4808988764044943,2925469.0,28740.0,5329.0,4445.0,2746.0,801.0,0.0,0.0,19767.0,0.0
40472905,217,107,0.4930875576036866,6020191.0,23636.0,15309.0,267118.0,265285.0,77803.0,0.0,11.0,280561.0,0.0
7923312,304,77,0.2532894736842105,3894099.0,22279.0,7466.0,83850.0,101642.0,27044.0,0.0,6.0,39112.0,0.0
9979161,179,53,0.2960893854748603,3478039.0,22581.0,5475.0,179631.0,126148.0,45778.0,0.0,1.0,83681.0,0.0
1813483,224,-9,-0.0401785714285714,997112.0,19298.0,2558.0,17671.0,2661.0,955.0,0.0,5.0,4783.0,0.0
17526627,255,41,0.1607843137254902,729984.0,20896.0,1554.0,7311.0,3101.0,6453.0,0.0,0.0,7026.0,0.0
14996627,252,52,0.2063492063492063,2256718.0,20418.0,3601.0,87983.0,129768.0,13763.0,0.0,5.0,55873.0,0.0
5925051,446,94,0.210762331838565,389314.0,18605.0,4211.0,2784.0,11888.0,614.0,0.0,41.0,201.0,0.0
7328690,382,99,0.2591623036649215,1303413.0,21508.0,6111.0,5932.0,518.0,1300.0,0.0,0.0,7936.0,0.0
43240232,283,-6,-0.0212014134275618,2577882.0,21963.0,7618.0,70767.0,268598.0,20050.0,0.0,7.0,268530.0,0.0
5212541,238,-9,-0.0378151260504201,1058130.0,21221.0,2939.0,41010.0,16798.0,5719.0,0.0,9.0,7516.0,0.0
62010132,318,92,0.2893081761006289,1207512.0,18309.0,2995.0,6181.0,20986.0,1241.0,0.0,55.0,74751.0,0.0
17389914,379,243,0.6411609498680739,,,,,,,,,,
42514950,259,128,0.4942084942084942,2892986.0,18052.0,6670.0,58930.0,204264.0,29286.0,0.0,4.0,222538.0,0.0
18081681,166,-73,-0.4397590361445783,8307485.0,23817.0,6781.0,20432.0,6820.0,12710.0,0.0,0.0,107855.0,0.0
27117035,465,0,0.0,463564.0,17044.0,3649.0,12170.0,25162.0,2693.0,0.0,22.0,12304.0,0.0
16379229,215,-64,-0.2976744186046511,1743415.0,18413.0,24119.0,78973.0,154365.0,21080.0,0.0,0.0,127504.0,0.0
9218171,112,-83,-0.7410714285714286,,,,,,,,,,
31460555,146,77,0.5273972602739726,1077431.0,18131.0,756.0,23203.0,28814.0,12699.0,0.0,0.0,45466.0,0.0
42135482,322,63,0.1956521739130435,2945287.0,17425.0,4700.0,53660.0,162871.0,28454.0,0.0,2.0,190220.0,0.0
1691006,331,79,0.2386706948640483,792762.0,16311.0,1430.0,1161.0,259.0,152.0,0.0,36.0,292.0,0.0
11461547,422,219,0.518957345971564,3057242.0,20618.0,6159.0,20277.0,86524.0,3099.0,0.0,21.0,69534.0,0.0
10600716,478,172,0.3598326359832636,,,,,,,,,,
34367329,281,120,0.4270462633451957,972308.0,18801.0,2768.0,8935.0,691.0,995.0,0.0,0.0,8734.0,0.0
68377612,396,106,0.2676767676767677,1412362.0,18021.0,3308.0,18377.0,75904.0,3301.0,0.0,20.0,130449.0,0.0
55564027,407,33,0.081081081081081,2757220.0,18976.0,9691.0,102788.0,159542.0,24022.0,0.0,3.0,209010.0,0.0
43421161,439,156,0.3553530751708428,2636286.0,16431.0,4937.0,45016.0,152233.0,21582.0,0.0,2.0,185205.0,0.0
22314431,370,206,0.5567567567567567,2749810.0,19252.0,10035.0,95874.0,178922.0,33484.0,0.0,3.0,89562.0,0.0
20944110,132,23,0.1742424242424242,6591621.0,21989.0,2655.0,214473.0,159623.0,88532.0,0.0,9.0,288210.0,0.0
5598273,216,79,0.3657407407407407,1375202.0,16067.0,1086.0,86406.0,18101.0,10018.0,0.0,4.0,6841.0,0.0
12138112,96,-53,-0.5520833333333334,1425585.0,18702.0,8705.0,5856.0,1619.0,5124.0,0.0,0.0,12690.0,0.0
40019105,320,82,0.25625,2023272.0,16495.0,36857.0,31497.0,105358.0,12084.0,0.0,0.0,128138.0,0.0
42901297,266,90,0.3383458646616541,2397662.0,15281.0,4009.0,43473.0,151762.0,17978.0,0.0,7.0,179564.0,0.0
40251593,208,145,0.6971153846153846,333847.0,15396.0,2256.0,11930.0,9870.0,1676.0,0.0,0.0,15200.0,0.0
47122122,338,92,0.272189349112426,2909142.0,16534.0,5304.0,83881.0,287658.0,4319.0,0.0,3.0,288991.0,0.0
2962149,218,-31,-0.1422018348623853,524535.0,14446.0,1669.0,1919.0,1163.0,424.0,0.0,6.0,522.0,0.0
15905969,384,49,0.1276041666666666,3917211.0,16698.0,8725.0,66134.0,106344.0,24623.0,0.0,0.0,59414.0,0.0
45514970,565,134,0.2371681415929203,1165207.0,16754.0,3547.0,15366.0,100378.0,3726.0,0.0,26.0,104555.0,0.0
6572558,286,-72,-0.2517482517482518,1504083.0,15288.0,6009.0,68074.0,97407.0,14672.0,0.0,2.0,41369.0,0.0
17151912,277,45,0.1624548736462094,2513202.0,14753.0,2390.0,34936.0,10066.0,50732.0,0.0,0.0,11283.0,0.0
8037500,144,70,0.4861111111111111,523924.0,13768.0,8359.0,13644.0,4206.0,3307.0,0.0,7.0,280.0,0.0
67167537,387,109,0.2816537467700258,1530845.0,17307.0,2750.0,10175.0,30289.0,1666.0,0.0,16.0,88693.0,0.0
9685813,301,-2,-0.0066445182724252,1758221.0,21770.0,8968.0,31802.0,15455.0,3708.0,0.0,6.0,48290.0,0.0
25857023,327,41,0.1253822629969418,1558054.0,14036.0,4595.0,4737.0,2551.0,3194.0,0.0,27.0,8873.0,0.0
5756974,160,-7,-0.04375,1488670.0,13083.0,3592.0,75726.0,63209.0,23307.0,0.0,1.0,4057.0,0.0
64613091,227,90,0.3964757709251101,3154514.0,16065.0,6265.0,25700.0,70193.0,15037.0,0.0,29.0,202343.0,0.0
11735710,270,85,0.3148148148148148,1055791.0,13770.0,2059.0,39011.0,63840.0,6588.0,0.0,19.0,21608.0,0.0
54715989,134,13,0.0970149253731343,3134344.0,17071.0,3583.0,88542.0,103886.0,41957.0,0.0,0.0,162433.0,0.0
62632642,199,-24,-0.1206030150753768,3093773.0,16075.0,3871.0,51908.0,13359.0,5339.0,0.0,37.0,140923.0,0.0
7248105,356,-4,-0.0112359550561797,2249769.0,13559.0,2166.0,53368.0,170683.0,10637.0,0.0,4.0,40736.0,0.0
